id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg, pub, year>
796	cornstalk	0,0858	0,2476	6	117	169	16	2016,1875
797	cosmetic	0,0895	-0,4958	2	207	266	23	2016,8261
798	cost effectiveness	0,2009	-0,3351	3	176	205	15	2018,4667
799	cost reduction	-0,2453	-0,3948	3	220	266	18	2015,2222
800	cotton seed oil	-1,0462	-0,1016	4	155	213	14	2014,3571
801	cotton stalk	-0,1789	0,7724	6	108	161	12	2015,75
802	cottonseed	-0,8986	-0,088	4	157	213	14	2015,2143
803	cottonseed oil	-0,6593	0,073	4	311	494	34	2014,0294
804	coulombic efficiency	1,0161	-0,5843	5	232	463	31	2013,3226
805	country	-0,5279	-0,4641	3	966	2462	193	2016,1192
806	couple	0,7596	-0,1477	5	323	449	31	2014,4839
807	covalent immobilization	1,1387	-0,4295	5	177	254	16	2016,25
808	cracking	-0,1596	0,5574	1	659	1275	101	2015,6634
809	cracking reaction	-0,4248	0,6887	1	261	428	30	2015,5333
810	cradle	-0,5719	-0,6905	3	131	188	14	2016,3571
811	cresol	0,3521	0,7442	1	277	450	29	2016,4828
812	criterium	-0,4557	-0,4612	3	621	1032	79	2016,4051
813	critical review	-0,1566	-0,3653	3	94	105	11	2016,0909
814	cross	0,857	-0,0842	5	609	1146	75	2014,76
815	crown	-0,8013	-0,1717	7	109	140	12	2010,1667
816	crucial step	0,4447	-0,4224	2	119	137	10	2015,6
817	crude bio oil	-0,0739	0,6897	6	501	1062	91	2015,7692
818	crude biodiesel	-0,3286	-0,1472	4	235	350	29	2016
819	crude oil price	-0,6795	-0,4324	3	168	192	12	2015,75
820	crude palm oil	-0,4842	0,151	4	317	521	36	2014,6111
821	crystal structure	0,6165	-0,0746	2	422	664	48	2016,0625
822	crystalline	0,4923	0,4011	1	193	246	19	2014,2632
823	crystalline cellulose	0,5102	-0,3438	2	241	359	29	2015,6897
824	crystalline structure	-0,002	0,3815	1	251	384	26	2016,4615
825	crystallographic structure	0,4018	0,2616	1	173	209	11	2018,1818
826	cst	-0,616	0,3097	4	311	580	42	2016,0476
827	cstr	0,0434	-0,6415	2	121	160	16	2015,5
828	ctab	0,4332	0,303	1	213	271	20	2017,5
829	cu catalyst	0,5023	0,7857	1	157	217	15	2018,4
830	cu site	0,773	0,3539	1	106	134	10	2015,9
831	cucl2	0,1772	0,485	6	136	165	12	2015,9167
832	cultivation	-0,1848	-0,5278	2	984	2717	211	2017,09
833	culture	0,1955	-0,6003	2	753	1844	157	2015,293
834	culture condition	0,0037	-0,5597	2	260	382	28	2016,3929
835	culture medium	0,0246	-0,5828	2	357	625	54	2017,6111
836	cuo	0,0471	0,6039	1	212	291	21	2016,8095
837	current challenge	0,142	-0,4019	3	118	126	10	2017,9
838	current density	1,431	-0,4225	5	653	3048	167	2014,8263
839	current state	0,0171	-0,4589	3	150	172	17	2015,5882
840	current status	-0,3596	-0,5594	3	210	261	17	2015,2941
841	current technology	-0,1638	-0,559	3	125	139	11	2015
842	current trend	-0,1918	-0,5733	3	132	150	12	2016,5833
843	cyanobacteria	0,0417	-0,3492	2	204	305	24	2016,3333
844	cyanobacterium	0,0278	-0,3797	2	302	463	37	2015,7568
845	cyclic hydrocarbon	0,1148	0,7831	1	151	220	16	2017,75
846	cyclic ketone	0,2707	0,7256	1	129	176	17	2017,6471
847	cyclic voltammetry	1,5984	-0,3494	5	436	1620	80	2015,1625
848	cyclic voltammogram	1,4634	-0,3646	5	125	180	12	2013,5833
849	cyclization	0,3883	0,6942	1	165	215	18	2016,6111
850	cycloalkane	0,1117	0,8543	1	257	413	30	2018,4
851	cyclohexane	0,2002	0,7876	1	393	849	54	2017,2407
852	cyclohexanol	0,2763	0,87	1	193	289	19	2016,3158
853	cyclohexanone	0,3409	0,7467	1	197	281	21	2017,6667
854	cyclopentanol	0,0772	0,6677	1	92	116	10	2017,8
855	cyclopentanone	0,2467	0,7639	1	262	425	33	2016,8182
856	cylinder	-1,3572	-0,5059	7	307	850	49	2016,0816
857	cylinder pressure	-1,4896	-0,481	7	368	1473	68	2017,7794
858	d glucose	0,6639	-0,1677	2	226	321	23	2013,6957
859	daf	-0,2512	0,3778	6	141	185	14	2016,2857
860	damage	-0,2109	-0,4887	7	333	506	40	2017,475
861	database	-0,2514	-0,3857	3	260	366	31	2015,9032
862	deactivated catalyst	-0,071	0,9181	1	102	149	11	2014,4545
863	decarbonylation	0,066	0,779	1	645	1441	96	2016,7708
864	decarbonylation reaction	0,0134	0,8452	1	254	397	25	2015,56
865	decision	-0,5922	-0,5424	3	323	490	40	2017,625
866	decomposition temperature	-0,1821	0,6692	6	117	167	15	2015,7333
867	deconstruction	0,354	-0,2768	2	359	592	48	2015,625
868	dee	-0,8803	-0,1295	7	212	313	17	2018,2353
869	deep eutectic solvent	0,0703	0,0941	2	186	263	23	2018,4783
870	defect	0,5818	0,3285	1	250	328	27	2016,4815
871	definition	-0,0416	-0,4505	3	154	170	14	2015,2143
872	degradation product	0,2303	-0,0551	2	294	413	33	2015,303
873	dehydration reaction	0,125	0,6232	1	279	403	34	2017,9118
874	dehydrogenase	1,244	-0,5577	5	369	885	55	2013,4
875	dehydrogenation	0,3438	0,5867	1	330	467	40	2017,625
876	dehydroxylation	0,1349	0,8984	1	148	193	13	2017,5385
877	deletion	0,6442	-0,7763	2	138	244	16	2013,625
878	delignification	0,268	-0,3517	2	326	656	51	2017,2549
879	demethoxylation	0,2185	0,8611	1	231	351	20	2018,15
880	demonstration	0,2937	-0,4143	3	315	384	28	2015,0357
881	denitrogenation	-0,1537	0,5332	6	181	269	19	2016,9474
882	densification	-0,29	0,1851	6	155	217	19	2018,4211
883	density functional theory	0,4588	0,4222	1	321	523	48	2017,625
884	density functional theory calculation	0,5047	0,4516	1	123	147	18	2018,3333
885	deoxygenated product	0,1798	0,9588	1	127	172	12	2015,75
886	deoxygenation	0,0217	0,7483	1	1196	4230	307	2016,9414
887	deoxygenation degree	0,0811	0,9112	1	177	244	16	2018,0625
888	deoxygenation process	-0,1028	0,6708	1	187	241	15	2017,8
889	deoxygenation reaction	0,0162	0,758	1	352	554	43	2016,8837
890	deployment	-0,4038	-0,5207	3	313	472	32	2015,6562
891	depolymerization	0,3355	0,29	1	634	1303	105	2016,3238
892	deposition	0,5487	0,1881	5	767	1426	95	2016,4632
893	des	0,0265	0,2549	2	153	203	15	2017,9333
894	design expert	-0,6816	0,0903	4	114	146	10	2018,9
895	desilication	0,2427	0,854	1	173	240	15	2018
896	desorption	0,2672	0,7965	1	813	2290	128	2015,9844
897	det	1,6136	-0,5007	5	360	1204	58	2015,0172
898	detection	0,8294	-0,209	5	857	2077	131	2015,8015
899	detection limit	1,2228	-0,2105	5	319	612	32	2015,3125
900	detergent	0,3594	-0,3931	2	140	180	15	2016,3333
901	detoxification	0,3117	-0,5802	2	270	515	36	2015,8056
902	developed catalyst	-0,0289	0,323	1	142	166	11	2017,0909
903	developed model	-0,6604	-0,1671	4	238	296	22	2018,2727
904	device	1,053	-0,4449	5	923	3804	232	2015,431
905	dft	0,5026	0,4578	1	274	407	36	2017,5833
906	dft calculation	0,5549	0,482	1	141	174	17	2018,1176
907	dha	-0,0653	-0,3475	2	141	162	12	2017,5
908	di diesel engine	-1,3123	-0,4594	7	266	614	31	2016,3226
909	dichloromethane	-0,4691	0,0613	6	189	262	23	2016,4783
910	diesel	-0,8851	-0,1929	7	1989	12417	828	2016,3213
911	diesel biodiesel blend	-1,2931	-0,4354	7	180	313	19	2017,7368
912	diesel blend	-1,3413	-0,4743	7	461	1296	72	2016,0833
913	diesel engine	-1,2232	-0,4182	7	1182	7766	471	2016,5414
914	diesel engine performance	-1,4106	-0,5227	7	170	327	17	2017,4706
915	diesel exhaust	-1,1296	-0,4612	7	107	176	13	2014,8462
916	diesel fraction	-0,2795	0,6083	1	200	260	22	2016,3182
917	diesel fuel	-1,0465	-0,2491	7	1330	6265	405	2015,358
918	diesel fuel blend	-1,421	-0,5144	7	214	469	24	2017,25
919	diesel oxidation catalyst	-1,1494	-0,4559	7	225	533	33	2015,1212
920	diesel particulate filter	-1,2282	-0,5346	7	161	319	20	2014,9
921	diesel range	-0,0672	0,7121	1	218	313	23	2016,3913
922	diesel range hydrocarbon	0,0786	0,4784	1	111	143	11	2018,4545
923	diesel substitute	-0,6662	-0,3158	3	186	230	14	2015,3571
924	diesel vehicle	-1,072	-0,5687	7	177	284	18	2014,1667
925	diethyl ether	-0,671	0,1006	7	323	491	34	2016,3235
926	differential thermal analysis	-0,4752	0,4145	1	168	224	16	2015,1875
927	diffuse reflectance	0,3765	0,8288	1	153	199	13	2016,8462
928	diffusion	0,632	-0,0402	5	655	1110	84	2015,7738
929	digestate	-0,0692	-0,2988	2	275	406	38	2018,3684
930	digestibility	0,2787	-0,4825	2	271	536	42	2016,8095
931	diglyceride	-0,2091	-0,0399	4	120	180	16	2012,8125
932	dilute acid	0,2115	-0,4246	2	237	372	29	2014,1034
933	dilute acid hydrolysis	0,2025	-0,7626	2	91	113	10	2014,3
934	dilute acid pretreatment	0,2124	-0,4664	2	230	372	26	2015,2692
935	dilute sulfuric acid	0,2728	-0,5035	2	113	154	12	2015,3333
936	dimensional gas chromatography	-0,1826	0,4282	6	150	240	22	2015,5909
937	dimer	0,3366	0,425	1	354	550	42	2016,8095
938	dimethoxyphenol	0,1559	0,5971	6	93	126	10	2015,2
939	dimethyl carbonate	-0,5507	-0,1928	4	284	500	39	2015
940	dimethyl ether	-0,4757	-0,2402	3	291	415	31	2016,0968
941	dimethyl sulfoxide	0,602	0,4567	1	151	201	16	2017,0625
942	dimethylfuran	0,4543	0,6399	1	430	1005	78	2017,4359
943	dimethyltetrahydrofuran	0,5474	0,8641	1	128	226	14	2017,8571
944	dinucleotide	1,5204	-0,4504	5	267	615	28	2012,7143
945	diol	0,3319	0,627	1	159	205	17	2017,2353
946	dioxane	0,3512	0,1881	1	145	170	16	2017
947	dioxygen	1,3877	-0,4282	5	142	256	17	2012,5294
948	direct combustion	-0,3515	-0,2321	3	154	197	15	2014,4667
949	direct electrochemistry	1,5842	-0,3037	5	177	325	16	2010,6875
950	direct electron transfer	1,5789	-0,4504	5	461	1965	94	2014,3511
951	direct esterification	-0,329	-0,0357	4	91	120	11	2013,9091
952	direct injection	-1,4142	-0,5303	7	315	834	42	2016,5
953	direct injection diesel engine	-1,4294	-0,457	7	310	930	46	2015,8261
954	direct liquefaction	-0,3749	0,4701	6	179	314	27	2014,5556
955	direct synthesis	0,0381	0,3045	1	94	104	10	2016,2
956	direct transesterification	-0,2622	-0,2541	4	325	602	47	2016,5532
957	direct transformation	0,4671	0,2836	1	108	128	11	2014,9091
958	disaccharide	0,7816	0,0941	5	147	183	13	2015,9231
959	discharge	0,3918	-0,2074	5	396	546	42	2016,381
960	discovery	0,6183	-0,4998	2	255	374	30	2014,7
961	discrete element method	0,0187	-0,1832	5	31	63	12	2017,0833
962	dispersion	0,4086	0,4855	1	732	1406	104	2016,2212
963	disruption	0,1948	-0,4116	2	236	317	24	2015,7083
964	distance	0,2282	-0,3205	5	442	669	46	2016,5435
965	dmc	-0,59	-0,142	4	242	423	30	2014,7
966	dme	-0,4254	-0,2022	3	224	317	23	2015,8261
967	dmf	0,4015	0,5577	1	465	1067	81	2017,3951
968	dmso	0,5844	0,3424	1	256	379	29	2016,6552
969	dmthf	0,5601	0,8649	1	90	156	10	2019
970	dna	0,8667	-0,4658	5	255	355	24	2015,7083
971	doc	-1,0418	-0,372	7	188	314	21	2016,2857
972	dolomite	-0,2955	0,4974	3	243	397	30	2015,8333
973	domain	0,7862	-0,3748	5	578	1171	79	2015,2785
974	domestic wastewater	0,1891	-0,592	2	150	187	14	2014,2857
975	dopant	0,621	0,4421	1	194	233	18	2016,3333
976	double hydroxide	0,5185	0,4402	1	168	230	17	2016,8824
977	dpf	-1,1499	-0,5031	7	206	475	28	2014,6429
978	drift	0,114	0,7163	1	174	216	14	2017,0714
979	dry basis	-0,2803	0,3175	6	287	412	31	2015,0645
980	dry cell weight	0,0802	-0,6021	2	210	327	23	2016,8696
981	dry weight	-0,1013	-0,4603	2	393	637	48	2015,6042
982	dtg	-0,0537	0,7826	1	304	460	31	2016,871
983	duckweed	0,0745	-0,0721	2	120	161	13	2015,3077
984	dye	0,6292	-0,4851	5	235	304	24	2016,875
985	dynamic viscosity	-0,5561	0,4808	6	141	175	15	2014,6667
986	e coli	0,614	-0,6945	2	388	859	63	2014,4286
987	easy separation	0,3595	0,2798	1	94	116	10	2016,8
988	ebc	1,6435	-0,3251	5	152	575	27	2018,1481
989	ebfc	1,5941	-0,4197	5	307	929	45	2019,1333
990	ech	0,7799	0,1243	5	81	111	10	2017,4
991	economic	-0,2603	-0,3978	3	721	1466	112	2016,1696
992	economic analysis	-0,3688	-0,4212	3	642	1348	101	2016,9802
993	economic aspect	-0,5033	-0,5697	3	163	202	13	2014,3846
994	economic assessment	-0,478	-0,5053	3	290	427	29	2017,2414
995	economic evaluation	-0,3424	-0,4882	3	324	539	40	2015,9
996	economic feasibility	-0,2925	-0,4463	3	629	1217	91	2016,8242
997	economic growth	-0,5928	-0,4689	3	152	180	15	2016,6
998	economic performance	-0,4689	-0,4959	3	267	488	33	2017
999	economic potential	-0,3226	-0,3081	3	185	250	18	2016,6111
1000	economic sustainability	-0,3512	-0,2883	3	133	153	12	2017,25
1001	economical production	0,2983	-0,4461	2	155	187	13	2016,0769
1002	economy	-0,3842	-0,3823	3	1009	2153	165	2016,6545
1003	edax	0,0101	0,5623	1	199	280	15	2017,4667
1004	edible oil	-0,6966	-0,1949	4	389	741	52	2015,4423
1005	edible vegetable oil	-0,5343	-0,0167	4	116	146	13	2015,5385
1006	eds	0,3763	0,4182	1	372	624	36	2017,75
1007	edx	0,1551	0,6664	1	589	1535	83	2018,253
1008	efb	-0,2395	0,2059	6	336	535	42	2016,3571
1009	efc	1,3762	-0,5465	5	150	258	12	2013,3333
1010	effective conversion	0,1584	0,4139	1	166	198	17	2015,4706
1011	effective pressure	-1,4875	-0,495	7	181	376	19	2017,1053
1012	effective strategy	0,5039	-0,3372	5	233	293	19	2017,8421
1013	efficient biocatalyst	0,6316	-0,445	2	144	172	11	2013,4545
1014	efficient biodiesel production	0,0445	-0,2061	4	143	183	13	2017,3077
1015	efficient heterogeneous catalyst	0,4591	0,5153	1	111	133	10	2016,8
1016	efficient synthesis	0,4644	0,4517	1	177	220	20	2016,75
1017	efficient transformation	0,4638	0,5774	1	122	147	11	2017,7273
1018	eggshell	-0,3575	0,3522	4	161	277	19	2016,2632
1019	egr	-1,4184	-0,5293	7	254	660	34	2017,1765
1020	egt	-1,6457	-0,5775	7	186	476	19	2018,7368
1021	eis	1,6906	-0,3139	5	167	340	15	2016,5333
1022	electrical energy	0,8628	-0,4763	5	332	606	38	2015,5263
1023	electrical power	0,7957	-0,5391	5	285	527	36	2013,3333
1024	electricity	-0,0215	-0,5271	3	972	2792	209	2015,2967
1025	electricity generation	0,2015	-0,5406	3	363	554	43	2015,0698
1026	electricity production	0,0894	-0,5766	3	274	404	28	2015,9643
1027	electrocatalysis	1,2041	-0,326	5	268	449	28	2014,25
1028	electrocatalyst	1,3706	-0,2096	5	461	1359	81	2014,6173
1029	electrocatalytic activity	1,4627	-0,2707	5	351	855	47	2014,6596
1030	electrocatalytic oxidation	1,5146	-0,2253	5	223	382	21	2015,1905
1031	electrochemical analysis	1,4034	-0,5003	5	138	196	11	2015,6364
1032	electrochemical characterization	1,4948	-0,3374	5	244	459	25	2015,28
1033	electrochemical impedance spectroscopy	1,5888	-0,3228	5	255	583	26	2015,8462
1034	electrochemical measurement	1,326	-0,3542	5	226	352	18	2014,7222
1035	electrochemical method	1,2712	-0,3545	5	194	273	17	2017
1036	electrochemical oxidation	1,3162	-0,3121	5	236	411	25	2015,56
1037	electrochemical performance	1,4365	-0,2542	5	232	408	24	2017
1038	electrochemical reduction	1,1143	-0,3771	5	237	354	22	2012,6364
1039	electrochemistry	1,2799	-0,2602	5	178	255	19	2013,8947
1040	electrode	1,4115	-0,4223	5	986	8243	479	2013,8956
1041	electrode material	1,4419	-0,4199	5	355	864	46	2015,5652
1042	electrode surface	1,5357	-0,4333	5	447	1606	83	2013,4096
1043	electrodes	1,5732	-0,4995	5	189	364	20	2016,15
1044	electrolysis	0,1451	-0,2996	3	420	675	51	2017,098
1045	electrolyte	1,1617	-0,2761	5	390	771	51	2014,451
1046	electron	1,1209	-0,3594	5	723	2075	131	2014,374
1047	electron acceptor	1,1145	-0,5741	5	241	400	25	2013,72
1048	electron donor	0,8596	-0,6173	5	178	269	20	2013,75
1049	electron mediator	1,5179	-0,5432	5	180	301	16	2012,625
1050	electron microscope	0,2489	0,363	1	467	812	50	2016,76
1051	electron microscopy	0,4276	0,2825	1	1432	4838	282	2016,8901
1052	electron transfer	1,3322	-0,3674	5	636	2197	127	2015,2441
1053	electron transfer mediator	1,6363	-0,531	5	178	350	17	2011,7647
1054	electron transfer rate	1,572	-0,328	5	266	609	30	2015,6667
1055	electropolymerization	1,5781	-0,3461	5	130	229	12	2010,75
1056	electrostatic interaction	1,2012	-0,178	5	168	220	14	2018
1057	elemental analysis	-0,1945	0,6548	6	966	2571	175	2016,2629
1058	elemental analyzer	-0,3432	0,6507	6	141	201	14	2015,5714
1059	elemental carbon	-1,0679	-0,3679	7	109	148	10	2015,8
1060	elemental composition	-0,2618	0,5547	6	595	1140	83	2016,3855
1061	elucidation	0,3888	0,417	1	142	173	14	2017,3571
1062	emf	0,5384	0,5155	1	268	625	50	2016,8
1063	emf yield	0,568	0,5535	1	190	396	29	2017,4483
1064	emission	-0,9924	-0,4589	7	1683	11339	713	2016,2777
1065	emission analysis	-1,2737	-0,3995	7	222	383	21	2017,9524
1066	emission characteristic	-1,4404	-0,4985	7	626	3355	178	2017,618
1067	emission level	-1,346	-0,5251	7	195	341	20	2017,25
1068	emission parameter	-1,4584	-0,4951	7	212	466	26	2018,9615
1069	emission reduction	-0,9574	-0,5099	7	315	516	30	2016,5
1070	emissions characteristic	-1,2905	-0,4145	7	178	317	16	2017,8125
1071	empty fruit bunch	-0,1552	0,2496	6	428	714	59	2016,7288
1072	en14214	-0,6042	-0,2112	4	201	288	21	2016,9524
1073	encapsulation	1,0981	-0,3464	5	225	339	20	2016,3
1074	endo	0,6691	-0,5713	2	165	295	23	2015,4348
1075	endoglucanase	0,5787	-0,6541	2	211	427	28	2014,8571
1076	endoxylanase	0,7106	-0,6622	2	105	196	11	2013,4545
1077	energy analysis	-0,4778	-0,2471	3	203	245	20	2016,8
1078	energy balance	-0,2989	-0,3344	3	523	846	71	2015,493
1079	energy conversion	0,3527	-0,4038	5	417	628	49	2015,9184
1080	energy conversion efficiency	0,3764	-0,1703	5	284	390	30	2015,2333
1081	energy crop	-0,1537	-0,4735	3	480	767	59	2014,0339
1082	energy dispersive spectroscopy	-0,0557	0,4835	1	142	200	14	2016,3571
1083	energy dispersive x ray	0,2857	0,7514	1	243	430	23	2017,0435
1084	energy dispersive x ray analysis	0,0059	0,361	1	156	215	12	2018,3333
1085	energy dispersive x ray spectroscopy	0,2649	0,3965	1	344	528	29	2018,4483
1086	energy flow	-0,5183	-0,5095	3	121	148	12	2014,1667
1087	energy generation	0,1905	-0,402	3	356	536	41	2016,6829
1088	energy integration	-0,4394	-0,4223	3	104	124	11	2017,4545
1089	energy need	-0,4975	-0,5407	3	260	349	26	2016,0385
1090	energy return	-0,5309	-0,5959	3	137	218	14	2016,7857
1091	energy sector	-0,4788	-0,352	3	164	206	16	2016,875
1092	energy security	-0,55	-0,5417	3	410	605	39	2015,1026
1093	energy storage	0,3002	-0,1638	5	230	286	23	2018,6087
1094	energy supply	-0,2799	-0,4553	3	321	460	36	2014,8333
1095	energy system	-0,1687	-0,4314	3	279	387	32	2015,75
1096	energy use	-0,4235	-0,5321	3	299	425	29	2015,1724
1097	engine	-1,1383	-0,3837	7	1249	7030	438	2016,726
1098	engine characteristic	-1,3151	-0,4278	7	180	310	15	2018,4667
1099	engine emission	-1,2266	-0,4819	7	258	467	26	2015,7308
1100	engine fuel	-0,7908	-0,063	7	290	398	29	2015,1379
1101	engine load	-1,4525	-0,5243	7	366	1215	63	2017,4762
1102	engine modification	-1,3292	-0,5455	7	262	600	32	2016,625
1103	engine operation	-1,139	-0,3921	7	317	581	35	2016,2286
1104	engine performance	-1,3041	-0,4702	7	690	2915	159	2017,7862
1105	engine power	-1,2533	-0,4464	7	177	301	17	2017,1176
1106	engine speed	-1,4012	-0,4606	7	283	801	45	2017,4222
1107	engine test	-1,2698	-0,3701	7	322	626	34	2017,0588
1108	engineering	0,4645	-0,5214	2	675	1447	125	2015,568
1109	enhanced activity	0,6333	0,3066	1	181	213	15	2016,9333
1110	entrapment	1,2537	-0,4612	5	280	469	27	2015,3704
1111	environmental assessment	-0,5632	-0,5657	3	217	328	23	2018
1112	environmental burden	-0,2245	-0,4389	3	145	175	13	2018,0769
1113	environmental condition	0,1452	-0,4991	2	187	223	17	2016,6471
1114	environmental effect	-0,854	-0,5179	7	182	260	20	2016,8
1115	environmental impact	-0,4491	-0,463	3	1020	2558	190	2016,7421
1116	environmental performance	-0,5712	-0,5405	3	326	593	41	2016,878
1117	environmental point	-0,732	-0,5246	3	94	125	10	2014,6
1118	environmental sustainability	-0,4014	-0,5649	3	310	441	32	2017,2812
1119	enzymatic activity	0,8648	-0,4726	2	398	740	49	2014,6939
1120	enzymatic biodiesel production	0,0314	-0,3509	4	158	279	24	2014,3333
1121	enzymatic biofuel cell	1,5801	-0,419	5	555	3066	163	2016,2515
1122	enzymatic catalysis	0,3708	-0,3353	4	189	263	21	2016,5714
1123	enzymatic catalyst	0,7283	-0,3189	5	246	350	23	2016,8261
1124	enzymatic conversion	0,4275	-0,497	2	176	241	17	2016,2353
1125	enzymatic digestibility	0,2896	-0,4163	2	158	317	24	2014,8333
1126	enzymatic fuel cell	1,426	-0,5406	5	243	522	28	2013,6071
1127	enzymatic hydrolysis	0,2781	-0,4871	2	857	3054	231	2015,8052
1128	enzymatic process	0,1614	-0,4195	4	205	302	22	2014,6364
1129	enzymatic production	0,0973	-0,288	4	217	353	28	2014,7143
1130	enzymatic reaction	0,8833	-0,4841	5	255	341	24	2016,6667
1131	enzymatic saccharification	0,3587	-0,4017	2	342	779	60	2017,0167
1132	enzymatic synthesis	-0,1106	-0,2429	4	120	175	15	2015,8
1133	enzymatic transesterification	-0,1953	-0,3674	4	302	563	43	2015,5116
1134	enzyme	0,8592	-0,4997	5	1697	12867	842	2014,823
1135	enzyme activity	0,686	-0,4932	2	524	1041	69	2015,4783
1136	enzyme cascade	1,4191	-0,5611	5	152	268	18	2015
1137	enzyme catalyst	1,1532	-0,1982	5	173	276	16	2015,5
1138	enzyme concentration	0,0431	-0,3626	4	266	463	31	2015,0645
1139	enzyme dosage	0,2287	-0,5213	2	174	247	16	2016,1875
1140	enzyme electrode	1,6467	-0,5147	5	216	475	23	2011,4348
1141	enzyme immobilization	1,2882	-0,3193	5	380	850	47	2015,0851
1142	enzyme load	0,1986	-0,4552	2	144	186	12	2017,5833
1143	enzyme loading	0,5958	-0,3876	2	474	917	62	2015,8548
1144	enzyme production	0,4233	-0,655	2	190	298	20	2015
1145	enzymes	1,01	-0,4427	5	191	259	17	2015,9412
1146	epa	-0,5973	-0,4888	2	131	150	12	2015,9167
1147	equilibrium composition	-0,3426	0,2502	3	76	87	11	2013,7273
1148	equivalence ratio	-0,6603	-0,0027	3	331	578	54	2016,4259
1149	era	-0,0962	-0,5354	3	174	204	16	2015,8125
1150	escherichia coli	0,6366	-0,6305	2	516	1441	108	2014,5093
1151	ester content	-0,4086	0,03	4	433	809	63	2016,254
1152	ester yield	-0,3907	-0,0376	4	285	481	35	2013,8571
1153	esterification	-0,0894	0,2403	4	1542	6673	525	2015,3771
1154	esterification process	-0,6981	-0,0382	4	371	720	55	2015,6909
1155	esterification reaction	-0,0408	0,2586	4	664	1577	120	2016,45
1156	estimate	-0,4613	-0,5076	3	366	544	44	2014,4318
1157	ethane	-0,1128	0,5024	1	220	327	27	2015,8519
1158	ethanol concentration	0,1956	-0,468	2	359	667	47	2015,0426
1159	ethanol fermentation	0,2398	-0,5899	2	327	620	46	2015,1957
1160	ethanol production	0,2162	-0,6176	2	809	2397	179	2014,6425
1161	ethanol steam	-0,0388	0,444	1	99	128	13	2014,3077
1162	ethanol yield	0,3449	-0,6474	2	477	1378	93	2015,6344
1163	ethanolysis	-0,061	0,0296	4	402	818	65	2015,0769
1164	ethene	-0,7938	0,097	7	121	160	12	2012,4167
1165	etherification	0,353	0,55	1	341	620	52	2016,2885
1166	etherification reaction	0,2196	0,4846	1	118	149	14	2016,6429
1167	ethoxymethyl	0,5342	0,534	1	93	120	11	2015,6364
1168	ethoxymethylfurfural	0,4997	0,4713	1	92	147	13	2017,8462
1169	ethyl biodiesel	-0,626	0,0075	4	108	154	13	2016,7692
1170	ethyl levulinate	0,346	0,4293	1	480	1013	86	2017,4884
1171	ethylbenzene	-0,1151	0,7767	6	136	182	12	2017
1172	ethylbenzothiazoline	1,7367	-0,4808	5	172	387	19	2011,8947
1173	ethylenimine	1,6057	-0,4783	5	118	216	10	2015,9
1174	eucalyptus	-0,0524	-0,1117	2	236	299	21	2015,8095
1175	eugenol	-0,0636	0,7351	1	119	172	14	2017,5714
1176	euro	-1,054	-0,5553	7	224	385	22	2015,3636
1177	europe	-0,6569	-0,469	3	426	654	47	2013,766
1178	european standard	-0,8624	-0,0567	4	260	431	28	2015,0357
1179	european union	-0,5799	-0,305	3	317	475	33	2017,1515
1180	eutrophication	-0,4774	-0,6375	3	186	293	19	2017,1053
1181	excellent activity	0,5247	0,7075	1	280	419	25	2017,16
1182	excellent catalytic activity	0,6605	0,4849	1	423	682	42	2016,7381
1183	excellent catalytic performance	0,6049	0,4863	1	354	532	35	2017,8857
1184	excellent electrocatalytic activity	1,4191	-0,3779	5	152	246	12	2012,5
1185	excellent selectivity	0,8286	0,3898	1	186	217	12	2017,6667
1186	excellent stability	0,8713	0,1539	5	405	613	36	2017,2222
1187	excess methanol	-0,281	0,1826	4	105	141	13	2014,2308
1188	exergetic efficiency	-0,6887	-0,4398	3	120	172	16	2014,3125
1189	exergy	-0,804	-0,4471	3	172	254	21	2017,3333
1190	exergy analysis	-0,8291	-0,4832	3	175	269	24	2015,125
1191	exergy efficiency	-0,922	-0,3821	3	171	243	20	2018
1192	exhaust	-1,0871	-0,3923	7	408	1049	68	2015,6471
1193	exhaust emission	-1,3549	-0,5057	7	567	2174	113	2017,2389
1194	exhaust gas	-0,9699	-0,3194	7	168	240	17	2016,7059
1195	exhaust gas recirculation	-1,4298	-0,5269	7	243	635	32	2017,5
1196	exhaust gas temperature	-1,5031	-0,5786	7	310	933	43	2017,6744
1197	exhaust gase	-1,0446	-0,3903	7	210	323	23	2016,0435
1198	exhaust temperature	-1,3629	-0,4274	7	150	242	13	2016,4615
1199	experimental analysis	-1,2166	-0,3694	7	212	311	18	2017,9444
1200	experimental investigation	-1,0611	-0,2673	7	641	1629	106	2016,5849
1201	experimental parameter	-0,5244	0,0833	4	161	184	15	2014,6
1202	experimental run	-0,7792	0,1369	4	138	194	15	2014,8667
1203	experimental study	-0,7665	-0,0683	7	838	1716	123	2016,7236
1204	experimental test	-0,705	-0,1896	7	107	118	11	2016,8182
1205	experimental value	-0,4551	0,0812	4	204	274	24	2014,7917
1206	experimental work	-0,8934	-0,2268	7	337	547	36	2016,75
1207	experimentally	-0,4041	-0,2058	7	117	151	14	2016,3571
1208	expression	0,4434	-0,5859	2	665	1626	122	2015,6639
1209	extensive research	-0,1775	-0,3584	3	106	114	11	2017,0909
1210	external magnetic field	0,7518	0,1485	1	161	211	13	2017,4615
